YearWeekISO,Date
2020-W52,21/12/2020
2020-W53,28/12/2020
2021-W01,04/01/2021
2021-W02,11/01/2021
2021-W03,18/01/2021
2021-W04,25/01/2021
2021-W05,01/02/2021
2021-W06,08/02/2021
2021-W07,15/02/2021
2021-W08,22/02/2021
2021-W09,01/03/2021
2021-W10,08/03/2021
2021-W11,15/03/2021
2021-W12,22/03/2021
2021-W13,29/03/2021
2021-W14,05/04/2021
2021-W15,12/04/2021
2021-W16,19/04/2021
2021-W17,26/04/2021
2021-W18,03/05/2021
2021-W19,10/05/2021
2021-W20,17/05/2021
2021-W21,24/05/2021
2021-W22,31/05/2021
2021-W23,07/06/2021
2021-W24,14/06/2021
2021-W25,21/06/2021
2021-W26,28/06/2021
2021-W27,05/07/2021
2021-W28,12/07/2021
2021-W29,19/07/2021
2021-W30,26/07/2021
2021-W31,02/08/2021
2021-W32,09/08/2021
2021-W33,16/08/2021
2021-W34,23/08/2021
2021-W35,30/08/2021
2021-W36,06/09/2021
2021-W37,13/09/2021
2021-W38,20/09/2021
2021-W39,27/09/2021
2021-W40,04/10/2021
2021-W41,11/10/2021
2021-W42,18/10/2021
2021-W43,25/10/2021
2021-W44,01/11/2021
2021-W45,08/11/2021
2021-W46,15/11/2021
2021-W47,22/11/2021
2021-W48,29/11/2021
2021-W49,06/12/2021
2021-W50,13/12/2021
2021-W51,20/12/2021
2021-W52,27/12/2021
